chromosome,start,stop,accession
CM028239.1,105112768,107472268,GCA_016433145.1
CM028239.1,106782099,109077696,GCA_016433145.1
CM028235.1,438259536,440260480,GCA_016433145.1
CM028239.1,4125198,6126109,GCA_016433145.1
JADWME010058960.1,0,1002364,GCA_016433145.1
JADWME010059644.1,0,1001091,GCA_016433145.1
CM054305.1,212733648,214734595,GCA_028858705.1
CM054305.1,85408188,87409123,GCA_028858705.1
CM054307.1,5829726,7830679,GCA_028858705.1
CM042425.1,37661358,39662335,GCA_023631565.1
CM042434.1,11377534,13378556,GCA_023631565.1
CM050420.1,12780562,14781527,GCA_027564155.1
CM050420.1,25493223,27494206,GCA_027564155.1
CM050425.1,2412754,4413677,GCA_027564155.1
CM050425.1,8758814,10759758,GCA_027564155.1
CM030802.2,132117938,134118873,GCA_018139145.2
CM030802.2,4822980,6823909,GCA_018139145.2
CM056194.1,59437245,61438225,GCA_029692085.1
CM051541.1,49641631,51642566,GCA_028022735.1
CM051548.1,26950605,28951555,GCA_028022735.1
CM050225.1,31597071,33601012,GCA_027477595.1
CM050226.1,111206405,113381260,GCA_027477595.1
OX381642.1,46450448,48451383,GCA_947461875.1
OX381657.1,21479258,23480205,GCA_947461875.1
CM048721.1,51739181,53740116,GCA_026419915.1
CM048730.1,4872855,6873802,GCA_026419915.1
CM052725.1,9460318,12486886,GCA_028533245.1
CM052748.1,30131127,32274816,GCA_028533245.1
CM052725.1,55433368,57434282,GCA_028533245.1
CM052737.1,51768431,53769327,GCA_028533245.1
JAPYYF010003667.1,0,1001707,GCA_028533245.1
CM032599.1,11718323,13723655,GCA_019097595.1
CM032598.1,11237361,13238335,GCA_019097595.1
CM032599.1,28689240,30690187,GCA_019097595.1
CM050090.1,243740526,245866834,GCA_027244095.1
CM050091.1,154932168,157224588,GCA_027244095.1
CM050091.1,152570437,154571540,GCA_027244095.1
CM050091.1,164319457,166320383,GCA_027244095.1
CM050092.1,11649773,13650738,GCA_027244095.1
CM036588.1,8231877,10236750,GCA_020745705.1
CM036586.1,211247668,213248621,GCA_020745705.1
CM029369.1,8741562,10768365,GCA_017165825.1
CM029369.1,25668129,27669091,GCA_017165825.1
CM029370.1,5011178,7012098,GCA_017165825.1
CM029373.1,21911597,23912571,GCA_017165825.1
CM029382.1,18332633,20333613,GCA_017165825.1
OX090913.1,23774434,26782340,GCA_944319715.1
OX090924.1,15867859,17913260,GCA_944319715.1
OX090930.1,44792011,46975386,GCA_944319715.1
OX090933.1,12026256,14162849,GCA_944319715.1
OX090922.1,29299550,31300455,GCA_944319715.1
CM053142.1,72203175,74336319,GCA_028571685.1
CM053147.1,4368812,7317405,GCA_028571685.1
CM053147.1,6657784,8858495,GCA_028571685.1
CM053147.1,26149468,28372439,GCA_028571685.1
CM053141.1,748604,2749503,GCA_028571685.1
CM053147.1,75834792,77835817,GCA_028571685.1
CM021731.1,201940324,203941259,GCA_011075105.1
CM021731.1,80642249,82643193,GCA_011075105.1
CM021733.1,112217225,114218178,GCA_011075105.1
CM030897.1,2941228,4959784,GCA_018136845.1
CM030890.1,13505608,15506582,GCA_018136845.1
CM041152.1,10827777,12828760,GCA_023065765.1
CM041152.1,11038068,14130549,GCA_023065765.1
CM041160.1,31512131,33718865,GCA_023065765.1
CM041152.1,27872347,29873249,GCA_023065765.1
CM041152.1,4502387,6503286,GCA_023065765.1
CM041164.1,26550511,28551410,GCA_023065765.1
CM046407.1,13671527,15672507,GCA_025434085.3
CM039702.1,7171102,9172079,GCA_022539355.2
CM039706.1,8574983,10575936,GCA_022539355.2
CM057487.1,11006438,13007421,GCA_030028045.1
CM057487.1,11216757,14397210,GCA_030028045.1
CM057495.1,70599416,72751621,GCA_030028045.1
CM057487.1,4492425,6493627,GCA_030028045.1
CM026848.1,28222941,30233731,GCA_015227805.3
CM026849.1,110393466,112439386,GCA_015227805.3
CM026848.1,32246122,34247039,GCA_015227805.3
AP023467.1,139645401,141854617,GCA_014905855.1
AP023467.1,141126152,143421415,GCA_014905855.1
AP023472.1,9812703,12231358,GCA_014905855.1
AP023465.1,9241571,11242470,GCA_014905855.1
AP023467.1,120879574,122880449,GCA_014905855.1
CM056254.1,44010600,46033182,GCA_029633875.1
CM056253.1,36655565,38656488,GCA_029633875.1
CM027422.1,9693177,11694124,GCA_015741225.1
CM027422.1,8648435,10725977,GCA_015741225.1
CM027422.1,9753557,11961521,GCA_015741225.1
CM027437.1,5439949,7567291,GCA_015741225.1
CM027442.1,22617550,26008946,GCA_015741225.1
CM027429.1,42043168,44044073,GCA_015741225.1
CM027429.1,51729393,53730292,GCA_015741225.1
JADBBS010004068.1,0,1007765,GCA_015741225.1
JADBBS010004348.1,0,1009786,GCA_015741225.1
JADBBS010006868.1,0,1004580,GCA_015741225.1
JADBBS010008450.1,0,1004538,GCA_015741225.1
CM035270.1,99164839,101165885,GCA_020226075.1
CM035270.1,97956770,100139582,GCA_020226075.1
CM035270.1,99214611,101426446,GCA_020226075.1
CM035292.1,18815373,20964562,GCA_020226075.1
CM035270.1,18103045,20103953,GCA_020226075.1
CM035270.1,81244179,83245168,GCA_020226075.1
CM035283.1,6929813,8930712,GCA_020226075.1
CM056035.1,402379330,404617884,GCA_029499605.1
CM056037.1,8726159,13082731,GCA_029499605.1
CM056041.1,28462958,30471975,GCA_029499605.1
CM056041.1,78061766,80768595,GCA_029499605.1
CM056042.1,229470072,231655662,GCA_029499605.1
CM056042.1,232333475,235592192,GCA_029499605.1
CM056045.1,91467870,93773217,GCA_029499605.1
JARJIZ010003083.1,0,1218189,GCA_029499605.1
JARJIZ010000657.1,0,1249538,GCA_029499605.1
JARJIZ010003419.1,0,1007337,GCA_029499605.1
CM038516.1,236654067,238890755,GCA_021498465.1
CM038516.1,238269112,240536851,GCA_021498465.1
CM038523.1,9953418,12228478,GCA_021498465.1
CM038516.1,166256008,168256919,GCA_021498465.1
CM038516.1,216712686,218713648,GCA_021498465.1
CM038532.1,82846901,84847800,GCA_021498465.1
CM033469.1,268491941,270549651,GCA_019447015.1
CM033473.1,292731646,295665975,GCA_019447015.1
CM033475.1,17051542,19873589,GCA_019447015.1
CM033477.1,2253858,4346378,GCA_019447015.1
CM033477.1,11905643,14531089,GCA_019447015.1
JAACNH010000905.1,0,1096450,GCA_019447015.1
CM033473.1,9477570,11478472,GCA_019447015.1
CM033474.1,7360569,9361474,GCA_019447015.1
CM033477.1,10261228,12262127,GCA_019447015.1
CM033477.1,14120851,16121801,GCA_019447015.1
JAACNH010000725.1,0,1084613,GCA_019447015.1
JAACNH010004597.1,0,1017212,GCA_019447015.1
OX442361.1,13449302,15454780,GCA_949357725.1
OX442351.1,10287484,12288464,GCA_949357725.1
CM049397.1,8869490,10870470,GCA_026929865.2
CM049405.1,18631525,20632544,GCA_026929865.2
CM038994.1,9858100,12126837,GCA_021917145.1
CM038995.1,2344828,4345871,GCA_021917145.1
JAJTOO010000029.1,2206738,4207715,GCA_021917145.1
JAJTOO010000097.1,0,1026904,GCA_021917145.1
CM040639.1,0,1355154,GCA_022817975.1
CM040658.1,8122265,10123200,GCA_022817975.1
JYNT01007515.1,0,1015438,GCA_022817975.1
CM041692.1,24154976,26194506,GCA_023375685.2
CM041691.1,12936736,14937710,GCA_023375685.2
CM041692.1,8199662,10200600,GCA_023375685.2
CM004419.2,27398276,29434048,GCA_001660625.3
CM004418.2,13099251,15100225,GCA_001660625.3
CM004419.2,11510333,13511271,GCA_001660625.3
JAESOR010000004.1,95014682,97632486,GCA_016881025.1
JAESOR010000177.1,10999077,13228052,GCA_016881025.1
JAESOR010000177.1,12578574,14588417,GCA_016881025.1
JAESOR010000177.1,39747603,41748613,GCA_016881025.1
JAESOR010000177.1,48804785,50805690,GCA_016881025.1
JAESOR010002273.1,236524770,238525660,GCA_016881025.1
CM040398.1,45072033,47083110,GCA_022702515.1
CM040404.1,17774010,19774984,GCA_022702515.1
CM040404.1,21946684,23947649,GCA_022702515.1
CM040412.1,1411708,3423291,GCA_022702525.1
CM040410.1,119448354,121449319,GCA_022702525.1
CM040410.1,123511797,125512771,GCA_022702525.1
CM040385.1,1411708,3423291,GCA_022702415.1
CM040383.1,119448354,121449319,GCA_022702415.1
CM040383.1,123511797,125512771,GCA_022702415.1
CM051089.1,18953421,20960758,GCA_027791375.2
CM051081.1,4695309,6696244,GCA_027791375.2
CM029115.1,6067269,8068246,GCA_016859345.1
CM029122.1,15893780,17894841,GCA_016859345.1
CM036398.1,101727838,103791340,GCA_020740685.1
CM036398.1,102851751,105128674,GCA_020740685.1
CM036411.1,2212242,5451595,GCA_020740685.1
CM036392.1,88503106,90504002,GCA_020740685.1
CM036398.1,71883664,73884641,GCA_020740685.1
CM036398.1,82623623,84624504,GCA_020740685.1
CM036409.1,2194631,4195527,GCA_020740685.1
CM042573.1,26551755,28552714,GCA_003829775.2
CM042573.1,30486636,32487601,GCA_003829775.2
CM042576.1,106233396,108234367,GCA_003829775.2
CM055202.1,8705528,10706481,GCA_029224185.1
CM017531.1,8743755,10744738,GCA_007896545.1
CM017536.1,22886738,24887691,GCA_007896545.1
CM027009.1,10111468,12112457,GCA_001649575.2
CM027014.1,7465976,9466929,GCA_001649575.2
CM040944.1,14878303,16881400,GCA_022985175.1
CM040943.1,14905579,16906544,GCA_022985175.1
CM040943.1,34928581,36929564,GCA_022985175.1
CM020417.1,67363436,69379202,GCA_009819535.1
CM020419.1,9806427,11812522,GCA_009819535.1
CM020431.1,23506162,25627505,GCA_009819535.1
CM020418.1,94136,2095323,GCA_009819535.1
CM041476.1,188254382,190255317,GCA_023343835.1
CM041477.1,122425,2123435,GCA_023343835.1
CM052671.1,142493567,144529876,GCA_028533205.1
CM052671.1,229534609,231617874,GCA_028533205.1
CM052674.1,399534962,401570567,GCA_028533205.1
CM052675.1,177507662,179704020,GCA_028533205.1
CM052675.1,179171253,181676109,GCA_028533205.1
CM052673.1,305780018,307780953,GCA_028533205.1
CM052675.1,265830517,267831428,GCA_028533205.1
JAPYYB010013262.1,0,1003602,GCA_028533205.1
JAPYYB010035421.1,0,1001469,GCA_028533205.1
CM052822.1,67571149,70472261,GCA_028534125.1
CM052834.1,5209930,7256914,GCA_028534125.1
CM052816.1,94889106,96889993,GCA_028534125.1
CM052822.1,27364398,29365327,GCA_028534125.1
CM052822.1,54748122,56749009,GCA_028534125.1
CM056224.1,145522349,147523428,GCA_029633865.1
CM040305.1,105463847,107503947,GCA_015883425.2
CM040302.1,82941040,84942002,GCA_015883425.2
CM040302.1,86873016,88873951,GCA_015883425.2
CM011632.1,8817665,10821556,GCA_000972845.2
CM011617.1,219043,2220071,GCA_000972845.2
CM011638.1,17923207,19924154,GCA_000972845.2
CP027264.1,13155035,15156036,GCA_004023545.1
CP027276.1,4708370,6709341,GCA_004023545.1
CM044665.1,16306573,18307550,GCA_001640805.2
CM044665.1,24861748,26862722,GCA_001640805.2
CM036477.1,88104103,90584701,GCA_020740605.1
CM036477.1,90719106,92838610,GCA_020740605.1
CM036482.1,8897734,11890959,GCA_020740605.1
CM036482.1,23765863,25766768,GCA_020740605.1
CM036482.1,60368356,62369267,GCA_020740605.1
CM036483.1,5034778,7035665,GCA_020740605.1
CM052656.1,110249546,112425690,GCA_028533165.1
CM052658.1,12557115,14790311,GCA_028533165.1
CM052658.1,13810411,15917450,GCA_028533165.1
CM052649.1,7991625,9992524,GCA_028533165.1
CM052658.1,31567833,33568711,GCA_028533165.1
CM052658.1,75353885,77354796,GCA_028533165.1
JAPYYA010000285.1,0,1024919,GCA_028533165.1
JAPYYA010002917.1,0,1012115,GCA_028533165.1
JAPYYA010005712.1,0,1009344,GCA_028533165.1
JAPYYA010020352.1,0,1000962,GCA_028533165.1
JAPYYA010026845.1,0,1002319,GCA_028533165.1
CM001404.1,12234574,14235548,GCA_000242695.1
CM001407.1,35789853,37790839,GCA_000242695.1
CM001423.1,8783074,10784207,GCA_000242695.1
CM032236.1,82680227,84838911,GCA_018994145.1
CM032237.1,27908337,30055701,GCA_018994145.1
CM032237.1,51271693,53720851,GCA_018994145.1
CM032240.1,74316538,76806001,GCA_018994145.1
CM032240.1,96159547,98178993,GCA_018994145.1
CM032241.1,133896244,137761394,GCA_018994145.1
CM032244.1,2205362,5152830,GCA_018994145.1
CM032244.1,5071348,7428988,GCA_018994145.1
CM032245.1,209123304,211281870,GCA_018994145.1
CM032234.1,477356062,479357000,GCA_018994145.1
CM032241.1,159579278,161580192,GCA_018994145.1
CM032241.1,184994387,186995448,GCA_018994145.1
CM019063.1,197376344,199555333,GCA_009667805.1
CM019066.1,41280784,43700687,GCA_009667805.1
CM019066.1,49282948,51433864,GCA_009667805.1
CM019068.1,51313721,54121505,GCA_009667805.1
CM019069.1,81681814,83833631,GCA_009667805.1
CM019069.1,156369681,158997534,GCA_009667805.1
CM019069.1,158519186,160732679,GCA_009667805.1
CM019075.1,883591,2900033,GCA_009667805.1
CM019075.1,15113975,17515951,GCA_009667805.1
RXON01001720.1,0,1044953,GCA_009667805.1
RXON01003640.1,0,1020852,GCA_009667805.1
CM019068.1,28098136,30099107,GCA_009667805.1
CM019068.1,2909329,4910390,GCA_009667805.1
RXON01000272.1,0,1009235,GCA_009667805.1
CM019675.1,7073963,9344458,GCA_009760805.1
VUAX01000108.1,0,1527755,GCA_009760805.1
VUAX01000167.1,0,2001804,GCA_009760805.1
CM019675.1,21873217,23874263,GCA_009760805.1
CM019678.1,25151654,27152565,GCA_009760805.1
CM019679.1,81650684,83651598,GCA_009760805.1
CM043364.1,19973736,21974674,GCA_023718395.1
CM043370.1,21213492,23214535,GCA_023718395.1
CM043370.1,34853989,36854966,GCA_023718395.1
CM038626.1,28658403,30659302,GCA_021554675.1
CM038639.1,18287998,20289041,GCA_021554675.1
CM038639.1,31524444,33525421,GCA_021554675.1
CM039179.1,85948198,88011839,GCA_008360975.2
CM039183.1,105894245,107927001,GCA_008360975.2
CM039179.1,81947357,83948322,GCA_008360975.2
CM053026.1,269378178,271809912,GCA_028564925.1
CM053028.1,517081588,519698213,GCA_028564925.1
CM053028.1,531128171,534996893,GCA_028564925.1
CM053031.1,286029522,290998042,GCA_028564925.1
CM053031.1,290779013,294633034,GCA_028564925.1
CM053031.1,295330985,298577993,GCA_028564925.1
CM053036.1,2182453,4224859,GCA_028564925.1
CM053036.1,86909384,89648770,GCA_028564925.1
CM053036.1,89773768,91822239,GCA_028564925.1
CM053038.1,179871386,182297533,GCA_028564925.1
CM016765.1,109366037,111371540,GCA_005870125.1
CM057422.1,126592476,128827942,GCA_030014295.1
CM057426.1,4649105,7406844,GCA_030014295.1
CM057426.1,7423122,9572261,GCA_030014295.1
CM057420.1,1211389,3212285,GCA_030014295.1
CM057426.1,25431384,27432265,GCA_030014295.1
CM057426.1,71848724,73849632,GCA_030014295.1
CM034596.1,32093597,34098775,GCA_020091685.1
CM034597.1,37603815,39604849,GCA_020091685.1
CM034599.1,921251,2922228,GCA_020091685.1
LR738410.1,88626980,90761125,GCA_902655055.2
LR738413.1,95049307,98077070,GCA_902655055.2
LR738413.1,45008023,47008937,GCA_902655055.2
CM007428.1,5230089,8435335,GCA_001883655.1
CM007439.1,33738995,35899360,GCA_001883655.1
CM007407.1,3536177,5537070,GCA_001883655.1
CM007426.1,26342983,28344014,GCA_001883655.1
CM051688.1,8398266,10433513,GCA_028022725.1
CM051692.1,18272249,20273217,GCA_028022725.1
CM017330.2,154770296,157793418,GCA_007474595.2
CM017335.1,43950433,46095702,GCA_007474595.2
CM017329.2,231593756,233594652,GCA_007474595.2
CM017330.2,104059345,106060271,GCA_007474595.2
CM049489.1,166842369,169008844,GCA_026956025.1
CM049489.1,168438295,170758878,GCA_026956025.1
CM049497.1,11719337,13943824,GCA_026956025.1
CM049497.1,15369062,17602720,GCA_026956025.1
CM049489.1,101346127,103347041,GCA_026956025.1
CM049489.1,148102806,150103681,GCA_026956025.1
CM049492.1,8516173,10517072,GCA_026956025.1
BLPH02000003.1,14263215,16583250,GCA_012559485.3
BLPH02000003.1,16027848,18194638,GCA_012559485.3
BLPH02000011.1,7228217,9453115,GCA_012559485.3
BLPH02000011.1,10162262,12350261,GCA_012559485.3
BLPH02000253.1,0,1018347,GCA_012559485.3
BLPH02000003.1,34830625,36831500,GCA_012559485.3
BLPH02000003.1,81709091,83710005,GCA_012559485.3
BLPH02000006.1,8463186,10464085,GCA_012559485.3
CM014338.1,167157081,169323864,GCA_003339765.3
CM014338.1,168764215,171085491,GCA_003339765.3
CM014346.1,7698945,9930346,GCA_003339765.3
CM014346.1,11355286,13604369,GCA_003339765.3
CM014338.1,101596081,103596995,GCA_003339765.3
CM014338.1,148406949,150407824,GCA_003339765.3
CM014341.1,8580871,10581770,GCA_003339765.3
CM053215.1,375752629,377857013,GCA_028583105.1
CM053217.1,92603193,94863678,GCA_028583105.1
CM053217.1,93976925,96057902,GCA_028583105.1
CM053219.1,127430001,129442316,GCA_028583105.1
CM053216.1,101585683,103586618,GCA_028583105.1
CM053217.1,4422439,6423350,GCA_028583105.1
JAQMYV010015914.1,0,1003544,GCA_028583105.1
JAQMYV010017225.1,0,1004686,GCA_028583105.1
JAQMYV010018759.1,0,1004897,GCA_028583105.1
JAQMYV010021698.1,0,1008451,GCA_028583105.1
JAQMYV010026771.1,0,1004344,GCA_028583105.1
JAQMYV010027646.1,0,1005535,GCA_028583105.1
JAQMYV010028373.1,0,1002242,GCA_028583105.1
JAQMYV010029242.1,0,1006617,GCA_028583105.1
JAQMYV010031466.1,0,1000971,GCA_028583105.1
JAQMYV010031892.1,0,1005616,GCA_028583105.1
JAQMYV010045020.1,0,1001078,GCA_028583105.1
JAQMYV010050074.1,0,1004068,GCA_028583105.1
JAQMYV010071653.1,0,1001554,GCA_028583105.1
JAQMYV010075017.1,0,1001627,GCA_028583105.1
CM053630.1,435777672,437903424,GCA_028627215.1
CM053631.1,308423959,310591845,GCA_028627215.1
CM053631.1,309917856,312207414,GCA_028627215.1
CM053631.1,394996533,396997444,GCA_028627215.1
CM053632.1,294542482,296543417,GCA_028627215.1
CM053633.1,380518362,382519297,GCA_028627215.1
CM053634.1,139673622,141674542,GCA_028627215.1
JAQQTA010000242.1,0,1016845,GCA_028627215.1
JAQQTA010003349.1,0,1009161,GCA_028627215.1
JAQQTA010003412.1,0,1012177,GCA_028627215.1
JAQQTA010008562.1,0,1005397,GCA_028627215.1
JAQQTA010020933.1,0,1004500,GCA_028627215.1
JAQQTA010024534.1,0,1004328,GCA_028627215.1
JAQQTA010027282.1,0,1002533,GCA_028627215.1
JAQQTA010033230.1,0,1003644,GCA_028627215.1
JAQQTA010033968.1,0,1001024,GCA_028627215.1
JAQQTA010038074.1,0,1003062,GCA_028627215.1
CM051160.1,71033659,73081086,GCA_027887155.1
CM051160.1,169944824,172014535,GCA_027887155.1
CM051158.1,139159021,141159953,GCA_027887155.1
CM051160.1,191619474,193620430,GCA_027887155.1
CM019214.1,92206679,94240875,GCA_009741485.1
CM019216.1,16304455,18340482,GCA_009741485.1
CM019214.1,73612687,75613652,GCA_009741485.1
VKON01004175.1,0,1005648,GCA_009741485.1
CM057661.1,133425100,135425999,GCA_030020395.1
CM057673.1,68082157,70083089,GCA_030020395.1
CM055625.1,53949614,56076052,GCA_029410595.1
CM055629.1,10586183,13641153,GCA_029410595.1
CM055629.1,61115497,63116621,GCA_029410595.1
LR535853.1,10262789,12266555,GCA_900324485.3
LR535841.1,5398254,7399231,GCA_900324485.3
VSBT01000020.1,34601224,36725207,GCA_008632895.1
VSBT01000020.1,36179307,38484853,GCA_008632895.1
VSBT01000020.1,124519279,126587754,GCA_008632895.1
VSBT01000020.1,125852306,128244698,GCA_008632895.1
VSBT01000008.1,26802592,28803599,GCA_008632895.1
VSBT01000015.1,37921054,39921950,GCA_008632895.1
VSBT01000020.1,18169423,20170322,GCA_008632895.1
VSBT01000020.1,8188578,10189489,GCA_008632895.1
CM035633.1,149213050,151466878,GCA_020497125.1
CM035635.1,38280992,40319992,GCA_020497125.1
CM035635.1,137493950,140146578,GCA_020497125.1
CM035633.1,148083683,150084615,GCA_020497125.1
CM035633.1,344882205,346883152,GCA_020497125.1
CM035635.1,16720840,18721847,GCA_020497125.1
CM027976.1,215454073,217455011,GCA_016161935.1
CM027978.1,71848730,74732040,GCA_016161935.1
CM027978.1,171033002,173064581,GCA_016161935.1
CM027990.1,4557224,6832982,GCA_016161935.1
CM027976.1,215671856,217672785,GCA_016161935.1
CM027976.1,216861758,218862690,GCA_016161935.1
CM027976.1,22960115,24961062,GCA_016161935.1
CM027978.1,192459136,194460143,GCA_016161935.1
JADWOL010000117.1,0,1192874,GCA_016161935.1
CM009191.2,8273080,10274018,GCA_000238955.5
CM038709.1,15817088,17863741,GCA_021613375.1
CM038709.1,36188265,38198495,GCA_021613375.1
CM038710.1,20695197,22696171,GCA_021613375.1
CM038716.1,24192728,26193723,GCA_021613375.1
CM032039.1,31079723,33080649,GCA_018812025.1
CM032045.1,20386115,22387278,GCA_018812025.1
CM032045.1,2851463,4852440,GCA_018812025.1
CM032878.1,5489333,7494223,GCA_019176425.1
CM032886.1,33841720,36583358,GCA_019176425.1
CM032878.1,9029719,11030699,GCA_019176425.1
CM023710.1,5611922,7617262,GCA_013368585.1
CM023710.1,9076694,11077665,GCA_013368585.1
OX456507.1,18166585,20174313,GCA_949748355.1
OX456503.1,8700316,10701284,GCA_949748355.1
CM030235.1,25704726,27705697,GCA_017639745.1
CM030236.1,20879391,22880599,GCA_017639745.1
CM000962.2,184213563,186214498,GCA_000146605.4
CM000963.2,105292103,107293122,GCA_000146605.4
OV277447.1,54196449,56335922,GCA_922984935.2
OV277451.1,10739038,13900988,GCA_922984935.2
OV277443.1,175897026,177897922,GCA_922984935.2
OV277451.1,62004380,64005294,GCA_922984935.2
CM022634.1,18030839,20031789,GCA_012275295.1
CM051564.1,78725214,80756111,GCA_028018845.1
CM051565.1,5048504,7111526,GCA_028018845.1
CM051565.1,81857135,83869184,GCA_028018845.1
CM051564.1,74622776,76623741,GCA_028018845.1
CM020380.1,5933433,7954881,GCA_009819595.1
CM020384.1,35438869,37439840,GCA_009819595.1
LR594633.1,281623477,283989682,GCA_901765095.2
LR594645.1,31902235,35360374,GCA_901765095.2
LR594638.1,120929693,122930607,GCA_901765095.2
LR594645.1,25945060,27946016,GCA_901765095.2
CM007667.1,97911928,100898883,GCA_000165445.3
CM007671.1,9238366,12425559,GCA_000165445.3
CM007667.1,101706606,103707517,GCA_000165445.3
CM007671.1,26282803,28283708,GCA_000165445.3
CM007671.1,66352018,68352929,GCA_000165445.3
CM007672.1,15644286,17645185,GCA_000165445.3
CM037985.1,30125679,32126656,GCA_021292245.1
CM033765.1,31846870,33847847,GCA_019677235.1
CM001699.1,3731704,6050234,GCA_000317375.1
JH996434.1,16511060,18613943,GCA_000317375.1
JH996476.1,0,2210299,GCA_000317375.1
CM001674.1,63770533,65771426,GCA_000317375.1
CM001684.1,45660054,47660959,GCA_000317375.1
CM001698.1,7539657,9540697,GCA_000317375.1
JH996434.1,0,1729108,GCA_000317375.1
CM052575.1,6530135,8696419,GCA_028551445.1
CM052575.1,9233570,11372027,GCA_028551445.1
CM052588.1,63407837,65558228,GCA_028551445.1
CM052588.1,64859080,67163373,GCA_028551445.1
CM052572.1,7547319,9548218,GCA_028551445.1
CM052588.1,45612520,47613395,GCA_028551445.1
CM052593.1,42001765,44002679,GCA_028551445.1
JAPYXX010001771.1,0,1010918,GCA_028551445.1
JAPYXX010001785.1,0,1010883,GCA_028551445.1
JAPYXX010005601.1,0,1005681,GCA_028551445.1
JAPYXX010020081.1,0,1001111,GCA_028551445.1
JAPYXX010036605.1,0,1001203,GCA_028551445.1
CM049325.1,86666897,88667850,GCA_021288785.3
CM049337.1,9809062,11810015,GCA_021288785.3
CM049337.1,56327020,58327946,GCA_021288785.3
CM050764.1,31123969,33172175,GCA_027580225.1
CM050762.1,15919867,17920838,GCA_027580225.1
CM050767.1,19295902,21296888,GCA_027580225.1
CM050767.1,3876998,5877969,GCA_027580225.1
CM022841.2,87314125,89328852,GCA_012460135.3
CM022842.2,106866969,108885190,GCA_012460135.3
CM022841.2,83273156,85274121,GCA_012460135.3
CM022842.2,68570608,70571561,GCA_012460135.3
CM051224.1,535800819,537860423,GCA_027887165.1
CM051227.1,215612781,217890149,GCA_027887165.1
CM051227.1,217504863,219844574,GCA_027887165.1
CM051230.1,168249596,170283134,GCA_027887165.1
CM051224.1,489828463,491829398,GCA_027887165.1
CM051225.1,382671900,384672844,GCA_027887165.1
CM051227.1,321645776,323646693,GCA_027887165.1
CM027476.1,36181385,38188782,GCA_015832195.1
CM027478.1,5528002,7582324,GCA_015832195.1
CM027476.1,40202733,42203698,GCA_015832195.1
CM028648.1,42225836,44226750,GCA_016735935.1
CM052554.1,162703038,164703988,GCA_028533875.1
CM052554.1,162713092,165769694,GCA_028533875.1
CM052562.1,39630039,41721504,GCA_028533875.1
CM052554.1,91866648,93867562,GCA_028533875.1
CM052558.1,4867546,6868439,GCA_028533875.1
JAPYXW010008202.1,0,1003465,GCA_028533875.1
JAPYXW010015138.1,0,1001712,GCA_028533875.1
JAPYXW010017755.1,0,1004288,GCA_028533875.1
CM035237.1,603592985,605776097,GCA_020276665.1
CM035237.1,604914234,607186344,GCA_020276665.1
CM035240.1,432990288,435199380,GCA_020276665.1
CM035237.1,524211643,526212551,GCA_020276665.1
CM035237.1,587106947,589107936,GCA_020276665.1
CM035238.1,259793343,261794242,GCA_020276665.1
muntjak_2_ab,143224598,145495197,GCA_008782695.1
muntjak_3_aa,280465428,282585755,GCA_008782695.1
muntjak_3_aa,281759247,284017654,GCA_008782695.1
VCEA01003397.1,0,1008861,GCA_008782695.1
muntjak_2_aa,414421618,416422517,GCA_008782695.1
muntjak_3_aa,201828395,203829303,GCA_008782695.1
muntjak_3_aa,264039657,266040646,GCA_008782695.1
CM051015.1,6442353,8449341,GCA_027704905.1
LT608245.1,34109563,36216429,GCA_900094665.2
LT608245.1,35780298,38049870,GCA_900094665.2
LT608245.1,127613007,129654729,GCA_900094665.2
LT608245.1,128732161,131094505,GCA_900094665.2
LT608239.1,26299212,28300219,GCA_900094665.2
LT608244.1,45949074,47949988,GCA_900094665.2
LT608245.1,18117816,20118715,GCA_900094665.2
LT608245.1,8195145,10196056,GCA_900094665.2
CM000999.3,39468172,41590244,GCA_000001635.9
CM000999.3,41117870,43412395,GCA_000001635.9
CM000999.3,130606855,134032756,GCA_000001635.9
CM000995.3,50517523,52518419,GCA_000001635.9
CM000999.3,12263694,14264605,GCA_000001635.9
CM000999.3,22969160,24970059,GCA_000001635.9
CM001008.3,31177436,33178440,GCA_000001635.9
FMBV02016690.1,0,1002477,GCA_900095145.2
LT608286.1,58886967,60975929,GCA_900095145.2
LT608286.1,60497223,62766987,GCA_900095145.2
LT608286.1,145685451,149075373,GCA_900095145.2
FMBV02016690.1,0,1015878,GCA_900095145.2
FMBV02016690.1,0,1002477,GCA_900095145.2
FMBV02017195.1,0,1004878,GCA_900095145.2
LT608286.1,33291770,35292681,GCA_900095145.2
LT608286.1,42826236,44827135,GCA_900095145.2
LT608290.1,37277323,39278219,GCA_900095145.2
LT608304.1,75404167,77405174,GCA_900095145.2
OW971683.1,36666163,38790853,GCA_921997135.2
OW971683.1,38319129,40590414,GCA_921997135.2
OW971683.1,128644547,130710140,GCA_921997135.2
OW971683.1,129952210,132328276,GCA_921997135.2
OW971679.1,48514015,50515241,GCA_921997135.2
OW971683.1,9111615,11112526,GCA_921997135.2
OW971683.1,19895154,21896053,GCA_921997135.2
OW971693.1,28867368,30868375,GCA_921997135.2
CM020573.1,53613626,55742030,GCA_009829155.1
CM020578.1,11261965,13448383,GCA_009829155.1
CM020570.1,155976501,157977397,GCA_009829155.1
